"Ephemeris for Chiron"
"","DATE","","","RIGHT ASCENS","","","DECLINATION","","Approx","Earth Dist","Observable","Constellation"
"2020","11","06","00","16","20","+04","44","18","18.8","18.0792","12:14 until 19:48","Pisces"
"2020","11","07","00","16","13","+04","43","22","18.8","18.0901","12:14 until 19:44","Pisces"
"2020","11","08","00","16","06","+04","42","27","18.8","18.1013","12:13 until 19:40","Pisces"
"2020","11","09","00","15","59","+04","41","33","18.8","18.1128","12:13 until 19:36","Pisces"
"2020","11","10","00","15","53","+04","40","40","18.8","18.1245","12:12 until 19:32","Pisces"
"2020","11","11","00","15","46","+04","39","47","18.8","18.1364","12:12 until 19:28","Pisces"
"2020","11","12","00","15","40","+04","38","56","18.8","18.1485","12:11 until 19:24","Pisces"
"2020","11","13","00","15","34","+04","38","06","18.8","18.1609","12:11 until 19:19","Pisces"
"2020","11","14","00","15","28","+04","37","16","18.8","18.1735","12:11 until 19:15","Pisces"
"2020","11","15","00","15","23","+04","36","27","18.8","18.1863","12:10 until 19:11","Pisces"
"2020","11","16","00","15","17","+04","35","40","18.8","18.1993","12:10 until 19:07","Pisces"
"2020","11","17","00","15","12","+04","34","53","18.8","18.2125","12:10 until 19:03","Pisces"
"2020","11","18","00","15","06","+04","34","07","18.8","18.2259","12:09 until 18:59","Pisces"
"2020","11","19","00","15","01","+04","33","23","18.8","18.2395","12:09 until 18:55","Pisces"
"2020","11","20","00","14","57","+04","32","39","18.8","18.2532","12:09 until 18:51","Pisces"
"2020","11","21","00","14","52","+04","31","56","18.8","18.2672","12:09 until 18:47","Pisces"
"2020","11","22","00","14","47","+04","31","15","18.8","18.2814","12:09 until 18:43","Pisces"
"2020","11","23","00","14","43","+04","30","35","18.8","18.2957","12:09 until 18:39","Pisces"
"2020","11","24","00","14","39","+04","29","55","18.8","18.3102","12:08 until 18:35","Pisces"
"2020","11","25","00","14","35","+04","29","17","18.8","18.3249","12:08 until 18:31","Pisces"
"2020","11","26","00","14","31","+04","28","40","18.8","18.3397","12:08 until 18:27","Pisces"
"2020","11","27","00","14","28","+04","28","04","18.8","18.3547","12:08 until 18:23","Pisces"
"2020","11","28","00","14","24","+04","27","30","18.8","18.3698","12:08 until 18:19","Pisces"
"2020","11","29","00","14","21","+04","26","56","18.8","18.3851","12:08 until 18:15","Pisces"
"2020","11","30","00","14","18","+04","26","24","18.8","18.4005","12:08 until 18:11","Pisces"
"2020","12","01","00","14","15","+04","25","53","18.9","18.4161","12:08 until 18:07","Pisces"
"2020","12","02","00","14","13","+04","25","23","18.9","18.4318","12:08 until 18:03","Pisces"
"2020","12","03","00","14","10","+04","24","54","18.9","18.4476","12:08 until 17:59","Pisces"
"2020","12","04","00","14","08","+04","24","26","18.9","18.4636","12:09 until 17:55","Pisces"
"2020","12","05","00","14","06","+04","24","00","18.9","18.4796","12:09 until 17:51","Pisces"
"2020","12","06","00","14","04","+04","23","35","18.9","18.4958","12:09 until 17:47","Pisces"
"2020","12","07","00","14","03","+04","23","11","18.9","18.5121","12:09 until 17:43","Pisces"
"2020","12","08","00","14","01","+04","22","49","18.9","18.5285","12:09 until 17:39","Pisces"
"2020","12","09","00","14","00","+04","22","27","18.9","18.5450","12:09 until 17:35","Pisces"
"2020","12","10","00","13","59","+04","22","07","18.9","18.5616","12:10 until 17:31","Pisces"
"2020","12","11","00","13","58","+04","21","48","18.9","18.5783","12:10 until 17:27","Pisces"
"2020","12","12","00","13","58","+04","21","31","18.9","18.5951","12:10 until 17:23","Pisces"
"2020","12","13","00","13","57","+04","21","15","18.9","18.6119","12:11 until 17:19","Pisces"
"2020","12","14","00","13","57","+04","21","00","18.9","18.6288","12:11 until 17:15","Pisces"
"2020","12","15","00","13","57","+04","20","46","18.9","18.6458","12:11 until 17:11","Pisces"
"2020","12","16","00","13","57","+04","20","34","18.9","18.6629","12:12 until 17:08","Pisces"
"2020","12","17","00","13","58","+04","20","23","18.9","18.6800","12:12 until 17:04","Pisces"
"2020","12","18","00","13","58","+04","20","14","18.9","18.6971","12:13 until 17:00","Pisces"
"2020","12","19","00","13","59","+04","20","05","18.9","18.7143","12:13 until 16:56","Pisces"
"2020","12","20","00","14","00","+04","19","58","18.9","18.7315","12:14 until 16:52","Pisces"
"2020","12","21","00","14","01","+04","19","53","18.9","18.7488","12:14 until 16:48","Pisces"
"2020","12","22","00","14","03","+04","19","48","18.9","18.7661","12:14 until 16:44","Pisces"
"2020","12","23","00","14","04","+04","19","46","18.9","18.7834","12:15 until 16:40","Pisces"
"2020","12","24","00","14","06","+04","19","44","18.9","18.8008","12:16 until 16:36","Pisces"
"2020","12","25","00","14","08","+04","19","44","18.9","18.8181","12:16 until 16:32","Pisces"
"2020","12","26","00","14","10","+04","19","45","18.9","18.8355","12:17 until 16:28","Pisces"
"2020","12","27","00","14","13","+04","19","47","18.9","18.8528","12:17 until 16:24","Pisces"
"2020","12","28","00","14","16","+04","19","51","18.9","18.8702","12:18 until 16:21","Pisces"
"2020","12","29","00","14","18","+04","19","56","18.9","18.8875","12:18 until 16:17","Pisces"
"2020","12","30","00","14","21","+04","20","02","18.9","18.9049","12:19 until 16:13","Pisces"
"2020","12","31","00","14","25","+04","20","10","18.9","18.9222","12:20 until 16:09","Pisces"
"2021","01","01","00","14","28","+04","20","19","18.9","18.9395","12:20 until 16:05","Pisces"
"2021","01","02","00","14","32","+04","20","29","18.9","18.9568","12:21 until 16:01","Pisces"
"2021","01","03","00","14","35","+04","20","40","18.9","18.9740","12:21 until 15:57","Pisces"
"2021","01","04","00","14","39","+04","20","53","18.9","18.9912","12:22 until 15:54","Pisces"
"2021","01","05","00","14","44","+04","21","07","18.9","19.0083","12:23 until 15:50","Pisces"
"2021","01","06","00","14","48","+04","21","23","18.9","19.0254","12:23 until 15:46","Pisces"
"2021","01","07","00","14","53","+04","21","39","18.9","19.0425","12:24 until 15:42","Pisces"
"2021","01","08","00","14","57","+04","21","57","18.9","19.0595","12:25 until 15:38","Pisces"
"2021","01","09","00","15","02","+04","22","17","18.9","19.0764","12:25 until 15:34","Pisces"
"2021","01","10","00","15","08","+04","22","37","18.9","19.0933","12:26 until 15:30","Pisces"
"2021","01","11","00","15","13","+04","22","59","18.9","19.1101","12:27 until 15:27","Pisces"
"2021","01","12","00","15","18","+04","23","22","18.9","19.1268","12:28 until 15:23","Pisces"
"2021","01","13","00","15","24","+04","23","46","18.9","19.1434","12:28 until 15:19","Pisces"
"2021","01","14","00","15","30","+04","24","12","18.9","19.1599","12:29 until 15:15","Pisces"
"2021","01","15","00","15","36","+04","24","39","18.9","19.1764","12:30 until 15:11","Pisces"
"2021","01","16","00","15","42","+04","25","07","18.9","19.1927","12:30 until 15:08","Pisces"
"2021","01","17","00","15","49","+04","25","36","18.9","19.2090","12:31 until 15:04","Pisces"
"2021","01","18","00","15","55","+04","26","07","18.9","19.2251","12:32 until 15:00","Pisces"
"2021","01","19","00","16","02","+04","26","38","18.9","19.2411","12:33 until 14:56","Pisces"
"2021","01","20","00","16","09","+04","27","11","19.0","19.2570","12:33 until 14:52","Pisces"
"2021","01","21","00","16","16","+04","27","45","19.0","19.2728","12:34 until 14:49","Pisces"
"2021","01","22","00","16","24","+04","28","21","19.0","19.2885","12:35 until 14:45","Pisces"
"2021","01","23","00","16","31","+04","28","57","19.0","19.3040","12:35 until 14:41","Pisces"
"2021","01","24","00","16","39","+04","29","35","19.0","19.3194","12:36 until 14:37","Pisces"
"2021","01","25","00","16","47","+04","30","13","19.0","19.3346","12:37 until 14:33","Pisces"
"2021","01","26","00","16","54","+04","30","53","19.0","19.3497","12:38 until 14:30","Pisces"
"2021","01","27","00","17","03","+04","31","34","19.0","19.3646","12:38 until 14:26","Pisces"
"2021","01","28","00","17","11","+04","32","16","19.0","19.3794","12:39 until 14:22","Pisces"
"2021","01","29","00","17","19","+04","32","59","19.0","19.3941","12:40 until 14:18","Pisces"
"2021","01","30","00","17","28","+04","33","43","19.0","19.4086","12:40 until 14:15","Pisces"
"2021","01","31","00","17","37","+04","34","28","19.0","19.4229","12:41 until 14:11","Pisces"
"2021","02","01","00","17","45","+04","35","15","18.9","19.4371","12:42 until 14:07","Pisces"
"2021","02","02","00","17","54","+04","36","02","18.9","19.4511","12:42 until 14:03","Pisces"
"2021","02","03","00","18","04","+04","36","50","18.9","19.4649","12:43 until 14:00","Pisces"
"2021","02","04","00","18","13","+04","37","39","18.9","19.4785","12:44 until 13:56","Pisces"
"2021","02","05","00","18","22","+04","38","30","18.9","19.4920","12:44 until 13:52","Pisces"
"2021","02","06","00","18","32","+04","39","21","18.9","19.5052","12:45 until 13:48","Pisces"
"2021","02","07","00","18","42","+04","40","13","18.9","19.5183","12:46 until 13:45","Pisces"
"2021","02","08","00","18","51","+04","41","06","18.9","19.5312","12:46 until 13:41","Pisces"
"2021","02","09","00","19","01","+04","42","01","18.9","19.5439","12:47 until 13:37","Pisces"
"2021","02","10","00","19","11","+04","42","56","18.9","19.5564","12:48 until 13:33","Pisces"
"2021","02","11","00","19","22","+04","43","52","18.9","19.5687","12:48 until 13:30","Pisces"
"2021","02","12","00","19","32","+04","44","49","18.9","19.5808","12:49 until 13:26","Pisces"
"2021","02","13","00","19","42","+04","45","46","18.9","19.5926","12:50 until 13:22","Pisces"
"2021","02","14","00","19","53","+04","46","45","18.9","19.6043","12:50 until 13:18","Pisces"
"2021","02","15","00","20","04","+04","47","45","18.9","19.6157","12:51 until 13:15","Pisces"
"2021","02","16","00","20","14","+04","48","45","18.9","19.6270","12:52 until 13:11","Pisces"
"2021","02","17","00","20","25","+04","49","46","18.9","19.6380","12:52 until 13:07","Pisces"
"2021","02","18","00","20","36","+04","50","48","18.9","19.6487","12:53 until 13:04","Pisces"
"2021","02","19","00","20","48","+04","51","51","18.9","19.6593","12:53 until 13:00","Pisces"
"2021","02","20","00","20","59","+04","52","54","18.9","19.6696","12:54 until 12:56","Pisces"
"2021","02","21","00","21","10","+04","53","59","18.9","19.6797","Not observable","Pisces"
"2021","02","22","00","21","22","+04","55","04","18.9","19.6895","Not observable","Pisces"
"2021","02","23","00","21","33","+04","56","09","18.9","19.6991","Not observable","Pisces"
"2021","02","24","00","21","45","+04","57","16","18.9","19.7085","Not observable","Pisces"
"2021","02","25","00","21","56","+04","58","23","18.9","19.7176","Not observable","Pisces"
"2021","02","26","00","22","08","+04","59","30","18.9","19.7265","Not observable","Pisces"
"2021","02","27","00","22","20","+05","00","39","18.9","19.7352","Not observable","Pisces"
"2021","02","28","00","22","32","+05","01","48","18.9","19.7436","Not observable","Pisces"
"2021","03","01","00","22","44","+05","02","57","18.9","19.7517","Not observable","Pisces"
"2021","03","02","00","22","56","+05","04","08","18.9","19.7596","Not observable","Pisces"
"2021","03","03","00","23","08","+05","05","18","18.9","19.7672","Not observable","Pisces"
"2021","03","04","00","23","20","+05","06","30","18.9","19.7746","Not observable","Pisces"
"2021","03","05","00","23","33","+05","07","42","18.9","19.7818","Not observable","Pisces"
"2021","03","06","00","23","45","+05","08","54","18.9","19.7886","Not observable","Pisces"
"2021","03","07","00","23","58","+05","10","07","18.9","19.7953","Not observable","Pisces"
"2021","03","08","00","24","10","+05","11","21","18.9","19.8016","Not observable","Pisces"
"2021","03","09","00","24","23","+05","12","35","18.9","19.8077","Not observable","Pisces"
"2021","03","10","00","24","35","+05","13","49","18.9","19.8135","Not observable","Pisces"
"2021","03","11","00","24","48","+05","15","04","18.9","19.8191","Not observable","Pisces"
"2021","03","12","00","25","01","+05","16","19","18.9","19.8244","Not observable","Pisces"
"2021","03","13","00","25","13","+05","17","35","18.9","19.8294","Not observable","Pisces"
"2021","03","14","00","25","26","+05","18","51","18.9","19.8341","Not observable","Pisces"
"2021","03","15","00","25","39","+05","20","07","18.9","19.8386","Not observable","Pisces"
"2021","03","16","00","25","52","+05","21","24","18.8","19.8428","Not observable","Pisces"
"2021","03","17","00","26","05","+05","22","41","18.8","19.8467","Not observable","Pisces"
"2021","03","18","00","26","18","+05","23","59","18.8","19.8504","Not observable","Pisces"
"2021","03","19","00","26","31","+05","25","17","18.8","19.8538","Not observable","Pisces"
"2021","03","20","00","26","44","+05","26","35","18.8","19.8569","Not observable","Pisces"
"2021","03","21","00","26","57","+05","27","53","18.8","19.8597","Not observable","Pisces"
"2021","03","22","00","27","10","+05","29","12","18.8","19.8622","Not observable","Pisces"
"2021","03","23","00","27","23","+05","30","31","18.8","19.8645","Not observable","Pisces"
"2021","03","24","00","27","36","+05","31","50","18.8","19.8665","Not observable","Pisces"
"2021","03","25","00","27","49","+05","33","09","18.8","19.8683","Not observable","Pisces"
"2021","03","26","00","28","02","+05","34","28","18.8","19.8697","Not observable","Pisces"
"2021","03","27","00","28","15","+05","35","48","18.8","19.8709","Not observable","Pisces"
"2021","03","28","00","28","28","+05","37","07","18.8","19.8718","Not observable","Pisces"
"2021","03","29","00","28","41","+05","38","27","18.8","19.8724","Not observable","Pisces"
"2021","03","30","00","28","54","+05","39","47","18.8","19.8727","Not observable","Pisces"
"2021","03","31","00","29","07","+05","41","07","18.8","19.8728","Not observable","Pisces"
"2021","04","01","00","29","20","+05","42","27","18.8","19.8726","Not observable","Pisces"
"2021","04","02","00","29","33","+05","43","47","18.8","19.8721","Not observable","Pisces"
"2021","04","03","00","29","47","+05","45","07","18.8","19.8714","Not observable","Pisces"
"2021","04","04","00","30","00","+05","46","27","18.8","19.8704","Not observable","Pisces"
"2021","04","05","00","30","13","+05","47","47","18.8","19.8691","Not observable","Pisces"
"2021","04","06","00","30","26","+05","49","08","18.8","19.8675","Not observable","Pisces"
"2021","04","07","00","30","39","+05","50","28","18.8","19.8656","Not observable","Pisces"
"2021","04","08","00","30","52","+05","51","48","18.8","19.8635","Not observable","Pisces"
"2021","04","09","00","31","05","+05","53","08","18.8","19.8611","Not observable","Pisces"
"2021","04","10","00","31","17","+05","54","28","18.8","19.8585","Not observable","Pisces"
"2021","04","11","00","31","30","+05","55","48","18.8","19.8555","Not observable","Pisces"
"2021","04","12","00","31","43","+05","57","07","18.8","19.8523","Not observable","Pisces"
"2021","04","13","00","31","56","+05","58","27","18.9","19.8488","Not observable","Pisces"
"2021","04","14","00","32","09","+05","59","46","18.9","19.8451","Not observable","Pisces"
"2021","04","15","00","32","21","+06","01","06","18.9","19.8411","Not observable","Pisces"
"2021","04","16","00","32","34","+06","02","25","18.9","19.8368","Not observable","Pisces"
"2021","04","17","00","32","47","+06","03","43","18.9","19.8322","Not observable","Pisces"
"2021","04","18","00","32","59","+06","05","02","18.9","19.8274","Not observable","Pisces"
"2021","04","19","00","33","12","+06","06","20","18.9","19.8224","Not observable","Pisces"
"2021","04","20","00","33","24","+06","07","39","18.9","19.8170","Not observable","Pisces"
"2021","04","21","00","33","37","+06","08","56","18.9","19.8115","Not observable","Pisces"
"2021","04","22","00","33","49","+06","10","14","18.9","19.8056","Not observable","Pisces"
"2021","04","23","00","34","01","+06","11","31","18.9","19.7995","Not observable","Pisces"
"2021","04","24","00","34","14","+06","12","48","18.9","19.7932","Not observable","Pisces"
"2021","04","25","00","34","26","+06","14","04","18.9","19.7866","Not observable","Pisces"
"2021","04","26","00","34","38","+06","15","21","18.9","19.7797","Not observable","Pisces"
"2021","04","27","00","34","50","+06","16","36","18.9","19.7727","Not observable","Pisces"
"2021","04","28","00","35","02","+06","17","52","18.9","19.7653","Not observable","Pisces"
"2021","04","29","00","35","14","+06","19","07","18.9","19.7578","Not observable","Pisces"
"2021","04","30","00","35","25","+06","20","21","18.9","19.7499","Not observable","Pisces"
"2021","05","01","00","35","37","+06","21","36","18.9","19.7419","Not observable","Pisces"
"2021","05","02","00","35","49","+06","22","49","18.9","19.7336","Not observable","Pisces"
"2021","05","03","00","36","00","+06","24","02","18.9","19.7251","Not observable","Pisces"
"2021","05","04","00","36","11","+06","25","15","18.9","19.7163","Not observable","Pisces"
"2021","05","05","00","36","23","+06","26","28","18.9","19.7073","Not observable","Pisces"
"2021","05","06","00","36","34","+06","27","39","18.9","19.6981","Not observable","Pisces"
"2021","05","07","00","36","45","+06","28","51","18.9","19.6887","Not observable","Pisces"
"2021","05","08","00","36","56","+06","30","01","18.9","19.6790","Not observable","Pisces"
"2021","05","09","00","37","07","+06","31","11","18.9","19.6691","Not observable","Pisces"
"2021","05","10","00","37","18","+06","32","21","18.9","19.6590","Not observable","Pisces"
"2021","05","11","00","37","29","+06","33","30","18.9","19.6487","Not observable","Pisces"
"2021","05","12","00","37","39","+06","34","38","18.9","19.6382","Not observable","Pisces"
"2021","05","13","00","37","50","+06","35","46","18.9","19.6274","Not observable","Pisces"
"2021","05","14","00","38","00","+06","36","53","18.9","19.6165","Not observable","Pisces"
"All times computed for Gangtok (latitude 27.33; longitude 88.61) and expressed in UTC."
"Ephemeris computed by Dominic Ford."
"<https://in-the-sky.org/>"
